"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," coalhada"," iogurte"," queijo fatiado"," pãezinhos/pãezinhos"," óleo"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ovos domésticos"," pãezinhos/pãezinhos"," pastelaria"," café","velas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta pipa"," vegetais de raiz"," pãezinhos/pãezinhos"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" barrar queijo"," pãezinhos/pãezinhos"," água engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," barrar queijo"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," cerveja em lata","velas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," cerveja engarrafada"," vinho branco"," lanche salgado"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne bovina"," outros vegetais"," leite inteiro"," manteiga"," ovos domésticos"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," leite inteiro"," cerveja engarrafada"," licor (aperitivo)"," detergente"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," uvas"," outros vegetais"," Soro de leite coalhado"," Leite UHT"," pão integral"," Margarina"," produtos orgânicos"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," pãezinhos/pãezinhos"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," cerveja engarrafada"," licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," cebola"," ervas"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," outros vegetais"," leite inteiro"," cerveja engarrafada"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," coalhada"," iogurte"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","refrigerante"," limpador abrasivo"," jornais"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta tropical"," pão semiacabado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta tropical"," vegetais de raiz"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," pastelaria"," farinha"," rum","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos"," mostarda","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" uvas","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," cerveja engarrafada"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete"," açúcar"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos","refrigerante"," cerveja em lata"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa"," bebidas"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" descalcificador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," outros vegetais"," leite inteiro"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta tropical"," pãezinhos/pãezinhos"," pão semiacabado"," cerveja engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," frango"," carne de porco"," citrino"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," Requeijão cremoso"," sobremesa congelada"," ovos domésticos"," pãezinhos/pãezinhos"," açúcar"," fermento em pó","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," leite inteiro"," ovos domésticos"," água engarrafada"," cerveja engarrafada"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de porco"," citrino"," vegetais de raiz"," cebola"," outros vegetais"," frutas/legumes embalados"," comida de gato"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa congelada"," conhaque","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," outros vegetais"," frutas/legumes embalados"," Leite condensado"," vegetais congelados"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vinagre"," óleo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","refrigerante"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," vegetais de raiz"," leite inteiro"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" uvas"," outros vegetais"," zwieback"," Produtos alimentares instantâneos"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," citrino"," chantilly/creme de leite"," Requeijão cremoso"," pãezinhos/pãezinhos"," fermento em pó"," produtos sazonais"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos finalizados"," vegetais de raiz"," frutas/legumes embalados"," iogurte"," queijo especial"," vegetais congelados"," sorvete","refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," outros vegetais"," farinha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," Requeijão cremoso"," chá"," chocolate"," marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," peru"," carne bovina"," outros vegetais"," leite inteiro"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," Margarina"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne bovina"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata"," licor (aperitivo)"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," frango"," citrino"," bagas"," cebola"," leite inteiro"," coalhada"," iogurte"," vegetais congelados"," pãezinhos/pãezinhos"," Margarina","refrigerante"," licor (aperitivo)"," barra de bolo"," doce"," produtos sazonais"," cuidados com a pele","","","","","","","","","","","","","","",""
" frutas/legumes embalados"," leite inteiro"," sobremesa"," iogurte"," Leite UHT"," Margarina"," água engarrafada"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," pãezinhos/pãezinhos","refrigerante"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," Leite UHT"," pãezinhos/pãezinhos"," café"," produto de panificação longa vida"," produtos para manutenção da casa","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," vinho tinto/blush"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" clínica de cuidado de animais domésticos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
